,name,frequency,modeling_realm,standard_name,units,cell_methods,cell_measures,long_name,comment,processing_note,dimensions,out_name,type,positive,spatial_shape,temporal_shape,cmip6_table,physical_parameter_name,variableRootDD,branding_label,branded_variable_name,region,cmip6_compound_name,cmip7_compound_name,uid,flag_values,flag_meanings
54,atmos.tas.tmax-h2m-hxy-u.day.glb,day,atmos,air_temperature,K,area: mean time: maximum,area: areacella,Daily Maximum Near-Surface Air Temperature,"maximum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: max"")",normally report this at 2 meters above the surface,longitude latitude time height2m,tas,real,,XY-na,time-intv,day,tasmax,tas,tmax-h2m-hxy-u,tas_tmax-h2m-hxy-u,glb,day.tasmax,atmos.tas.tmax-h2m-hxy-u.day.glb,bab94a50-e5dd-11e5-8482-ac72891c3257,,
55,atmos.tas.tmaxavg-h2m-hxy-u.mon.glb,mon,atmos,air_temperature,K,area: mean time: maximum within days time: mean over days,area: areacella,Daily Maximum Near-Surface Air Temperature,monthly mean of the daily-maximum near-surface air temperature.,"Normally, this should be reported at the 2 meter height. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time height2m CMIP7:longitude latitude time4 height2m,",longitude latitude time4 height2m,tas,real,,XY-na,monthly-mean-daily-stat,Amon,tasmax,tas,tmaxavg-h2m-hxy-u,tas_tmaxavg-h2m-hxy-u,glb,Amon.tasmax,atmos.tas.tmaxavg-h2m-hxy-u.mon.glb,bab942a8-e5dd-11e5-8482-ac72891c3257,,
56,atmos.tas.tmin-h2m-hxy-u.day.glb,day,atmos,air_temperature,K,area: mean time: minimum,area: areacella,Daily Minimum Near-Surface Air Temperature,"minimum near-surface (usually, 2 meter) air temperature (add cell_method attribute ""time: min"")",normally report this at 2 meters above the surface,longitude latitude time height2m,tas,real,,XY-na,time-intv,day,tasmin,tas,tmin-h2m-hxy-u,tas_tmin-h2m-hxy-u,glb,day.tasmin,atmos.tas.tmin-h2m-hxy-u.day.glb,bab95fae-e5dd-11e5-8482-ac72891c3257,,
57,atmos.tas.tminavg-h2m-hxy-u.mon.glb,mon,atmos,air_temperature,K,area: mean time: minimum within days time: mean over days,area: areacella,Daily Minimum Near-Surface Air Temperature,monthly mean of the daily-minimum near-surface air temperature.,"Normally, this should be reported at the 2 meter height. CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude time height2m CMIP7:longitude latitude time4 height2m,",longitude latitude time4 height2m,tas,real,,XY-na,monthly-mean-daily-stat,Amon,tasmin,tas,tminavg-h2m-hxy-u,tas_tminavg-h2m-hxy-u,glb,Amon.tasmin,atmos.tas.tminavg-h2m-hxy-u.mon.glb,bab955ea-e5dd-11e5-8482-ac72891c3257,,
58,atmos.tas.tpt-h2m-hxy-u.3hr.glb,3hr,atmos,air_temperature,K,area: mean time: point,area: areacella,Near-Surface Air Temperature,This is sampled synoptically.,normally report this at 2 meters above the surface,longitude latitude time1 height2m,tas,real,,XY-na,time-point,3hr,tas,tas,tpt-h2m-hxy-u,tas_tpt-h2m-hxy-u,glb,3hr.tas,atmos.tas.tpt-h2m-hxy-u.3hr.glb,bab91b20-e5dd-11e5-8482-ac72891c3257,,
59,atmos.tauu.tavg-u-hxy-u.mon.glb,mon,atmos,surface_downward_eastward_stress,Pa,area: time: mean,area: areacella,Surface Downward Eastward Wind Stress,Downward eastward wind stress at the surface,,longitude latitude time,tauu,real,down,XY-na,time-intv,Amon,tauu,tauu,tavg-u-hxy-u,tauu_tavg-u-hxy-u,glb,Amon.tauu,atmos.tauu.tavg-u-hxy-u.mon.glb,bab96cc4-e5dd-11e5-8482-ac72891c3257,,
60,atmos.tauv.tavg-u-hxy-u.mon.glb,mon,atmos,surface_downward_northward_stress,Pa,area: time: mean,area: areacella,Surface Downward Northward Wind Stress,Downward northward wind stress at the surface,,longitude latitude time,tauv,real,down,XY-na,time-intv,Amon,tauv,tauv,tavg-u-hxy-u,tauv_tavg-u-hxy-u,glb,Amon.tauv,atmos.tauv.tavg-u-hxy-u.mon.glb,bab9888a-e5dd-11e5-8482-ac72891c3257,,
61,atmos.ts.tavg-u-hxy-u.mon.glb,mon,atmos,surface_temperature,K,area: time: mean,area: areacella,Surface Temperature,Surface temperature (skin for open ocean),,longitude latitude time,ts,real,,XY-na,time-intv,Amon,ts,ts,tavg-u-hxy-u,ts_tavg-u-hxy-u,glb,Amon.ts,atmos.ts.tavg-u-hxy-u.mon.glb,babaef0e-e5dd-11e5-8482-ac72891c3257,,
62,atmos.ua.tavg-p19-hxy-air.day.glb,day,atmos,eastward_wind,m s-1,area: time: mean where air,area: areacella,Eastward Wind,Zonal wind (positive in a eastward direction).,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,ua,real,,XY-P19,time-intv,day,ua,ua,tavg-p19-hxy-air,ua_tavg-p19-hxy-air,glb,day.ua,atmos.ua.tavg-p19-hxy-air.day.glb,babb5084-e5dd-11e5-8482-ac72891c3257,,
63,atmos.ua.tavg-p19-hxy-air.mon.glb,mon,atmos,eastward_wind,m s-1,area: time: mean where air,area: areacella,Eastward Wind,Zonal wind (positive in a eastward direction).,"CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,ua,real,,XY-P19,time-intv,Amon,ua,ua,tavg-p19-hxy-air,ua_tavg-p19-hxy-air,glb,Amon.ua,atmos.ua.tavg-p19-hxy-air.mon.glb,babb4b34-e5dd-11e5-8482-ac72891c3257,,
64,atmos.ua.tpt-p3-hxy-air.6hr.glb,6hr,atmos,eastward_wind,m s-1,area: mean where air time: point,area: areacella,Eastward Wind,Zonal wind (positive in a eastward direction).,"On the following pressure levels: 850, 500, 250 hPa. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: point CMIP7:area: mean where air time: point,",longitude latitude plev3 time1,ua,real,,XY-P3,time-point,6hrPlevPt,ua,ua,tpt-p3-hxy-air,ua_tpt-p3-hxy-air,glb,6hrPlevPt.ua,atmos.ua.tpt-p3-hxy-air.6hr.glb,8bae55ba-4a5b-11e6-9cd2-ac72891c3257,,
65,atmos.uas.tavg-h10m-hxy-u.day.glb,day,atmos,eastward_wind,m s-1,area: time: mean,area: areacella,Eastward Near-Surface Wind,"Eastward component of the near-surface (usually, 10 meters)  wind",normally report this at 10 meters above the surface,longitude latitude time height10m,uas,real,,XY-na,time-intv,day,uas,uas,tavg-h10m-hxy-u,uas_tavg-h10m-hxy-u,glb,day.uas,atmos.uas.tavg-h10m-hxy-u.day.glb,babb6cea-e5dd-11e5-8482-ac72891c3257,,
66,atmos.uas.tavg-h10m-hxy-u.mon.glb,mon,atmos,eastward_wind,m s-1,area: time: mean,area: areacella,Eastward Near-Surface Wind,"Eastward component of the near-surface (usually, 10 meters)  wind","normally, the the wind component should be reported at the 10 meter height",longitude latitude time height10m,uas,real,,XY-na,time-intv,Amon,uas,uas,tavg-h10m-hxy-u,uas_tavg-h10m-hxy-u,glb,Amon.uas,atmos.uas.tavg-h10m-hxy-u.mon.glb,babb67c2-e5dd-11e5-8482-ac72891c3257,,
67,atmos.uas.tpt-h10m-hxy-u.3hr.glb,3hr,atmos,eastward_wind,m s-1,area: mean time: point,area: areacella,Eastward Near-Surface Wind,This is sampled synoptically.,"CHANGE SINCE CMIP6: compound name,",longitude latitude time1 height10m,uas,real,,XY-na,time-point,3hrPt,uas,uas,tpt-h10m-hxy-u,uas_tpt-h10m-hxy-u,glb,3hrPt.uas,atmos.uas.tpt-h10m-hxy-u.3hr.glb,babb5db8-e5dd-11e5-8482-ac72891c3257,,
68,atmos.va.tavg-p19-hxy-air.day.glb,day,atmos,northward_wind,m s-1,area: time: mean where air,area: areacella,Northward Wind,Meridional wind (positive in a northward direction).,"CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,va,real,,XY-P19,time-intv,day,va,va,tavg-p19-hxy-air,va_tavg-p19-hxy-air,glb,day.va,atmos.va.tavg-p19-hxy-air.day.glb,babbbbe6-e5dd-11e5-8482-ac72891c3257,,
69,atmos.va.tavg-p19-hxy-air.mon.glb,mon,atmos,northward_wind,m s-1,area: time: mean where air,area: areacella,Northward Wind,Meridional wind (positive in a northward direction).,,longitude latitude plev19 time,va,real,,XY-P19,time-intv,Amon,va,va,tavg-p19-hxy-air,va_tavg-p19-hxy-air,glb,Amon.va,atmos.va.tavg-p19-hxy-air.mon.glb,babbb25e-e5dd-11e5-8482-ac72891c3257,,
70,atmos.va.tpt-p3-hxy-air.6hr.glb,6hr,atmos,northward_wind,m s-1,area: mean where air time: point,area: areacella,Northward Wind,Meridional wind (positive in a northward direction).,"on the following pressure levels: 850, 500, 250 hPa. CHANGE SINCE CMIP6 in Cell Methods - CMIP6:area: mean time: point CMIP7:area: mean where air time: point,",longitude latitude plev3 time1,va,real,,XY-P3,time-point,6hrPlevPt,va,va,tpt-p3-hxy-air,va_tpt-p3-hxy-air,glb,6hrPlevPt.va,atmos.va.tpt-p3-hxy-air.6hr.glb,8bae5aba-4a5b-11e6-9cd2-ac72891c3257,,
71,atmos.vas.tavg-h10m-hxy-u.day.glb,day,atmos,northward_wind,m s-1,area: time: mean,area: areacella,Northward Near-Surface Wind,Northward component of the near surface wind,normally report this at 10 meters above the surface,longitude latitude time height10m,vas,real,,XY-na,time-intv,day,vas,vas,tavg-h10m-hxy-u,vas_tavg-h10m-hxy-u,glb,day.vas,atmos.vas.tavg-h10m-hxy-u.day.glb,babbd25c-e5dd-11e5-8482-ac72891c3257,,
72,atmos.vas.tavg-h10m-hxy-u.mon.glb,mon,atmos,northward_wind,m s-1,area: time: mean,area: areacella,Northward Near-Surface Wind,Northward component of the near surface wind,"normally, the the wind component should be reported at the 10 meter height",longitude latitude time height10m,vas,real,,XY-na,time-intv,Amon,vas,vas,tavg-h10m-hxy-u,vas_tavg-h10m-hxy-u,glb,Amon.vas,atmos.vas.tavg-h10m-hxy-u.mon.glb,babbcd34-e5dd-11e5-8482-ac72891c3257,,
73,atmos.vas.tpt-h10m-hxy-u.3hr.glb,3hr,atmos,northward_wind,m s-1,area: mean time: point,area: areacella,Northward Near-Surface Wind,This is sampled synoptically.,"CHANGE SINCE CMIP6: compound name,",longitude latitude time1 height10m,vas,real,,XY-na,time-point,3hrPt,vas,vas,tpt-h10m-hxy-u,vas_tpt-h10m-hxy-u,glb,3hrPt.vas,atmos.vas.tpt-h10m-hxy-u.3hr.glb,babbdec8-e5dd-11e5-8482-ac72891c3257,,
74,atmos.wap.tavg-p19-hxy-air.mon.glb,mon,atmos,lagrangian_tendency_of_air_pressure,Pa s-1,area: time: mean where air,area: areacella,Omega (=dp/dt),"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,wap,real,,XY-P19,time-intv,Amon,wap,wap,tavg-p19-hxy-air,wap_tavg-p19-hxy-air,glb,Amon.wap,atmos.wap.tavg-p19-hxy-air.mon.glb,babd0906-e5dd-11e5-8482-ac72891c3257,,
75,atmos.wap.tavg-p19-hxy-u.day.glb,day,atmos,lagrangian_tendency_of_air_pressure,Pa s-1,time: mean,area: areacella,Omega (=dp/dt),"commonly referred to as ""omega"", this represents the vertical component of velocity in pressure coordinates (positive down)","CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time,",longitude latitude plev19 time,wap,real,,XY-P19,time-intv,day,wap,wap,tavg-p19-hxy-u,wap_tavg-p19-hxy-u,glb,day.wap,atmos.wap.tavg-p19-hxy-u.day.glb,babd0e56-e5dd-11e5-8482-ac72891c3257,,
76,atmos.zg.tavg-p19-hxy-air.day.glb,day,atmos,geopotential_height,m,area: time: mean where air,area: areacella,Geopotential Height,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.","CHANGE SINCE CMIP6 in Dimensions - CMIP6:longitude latitude plev8 time CMIP7:longitude latitude plev19 time, CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,zg,real,,XY-P19,time-intv,day,zg,zg,tavg-p19-hxy-air,zg_tavg-p19-hxy-air,glb,day.zg,atmos.zg.tavg-p19-hxy-air.day.glb,babda032-e5dd-11e5-8482-ac72891c3257,,
77,atmos.zg.tavg-p19-hxy-air.mon.glb,mon,atmos,geopotential_height,m,area: time: mean where air,area: areacella,Geopotential Height,"Geopotential is the sum of the specific gravitational potential energy relative to the geoid and the specific centripetal potential energy. Geopotential height is the geopotential divided by the standard acceleration due to gravity. It is numerically similar to the altitude (or geometric height) and not to the quantity with standard name height, which is relative to the surface.","CHANGE SINCE CMIP6 in Cell Methods - CMIP6:time: mean CMIP7:area: time: mean where air,",longitude latitude plev19 time,zg,real,,XY-P19,time-intv,Amon,zg,zg,tavg-p19-hxy-air,zg_tavg-p19-hxy-air,glb,Amon.zg,atmos.zg.tavg-p19-hxy-air.mon.glb,babd9ace-e5dd-11e5-8482-ac72891c3257,,
